,studyName,Sample Number,Species,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
279,PAL0809,60,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N17A2,Yes,2008-11-06,50.4,15.3,224.0,5550.0,MALE,8.74647,-26.79846
280,PAL0809,61,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,Yes,2008-11-03,45.3,13.8,208.0,4200.0,FEMALE,8.65015,-26.79053
281,PAL0809,62,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,Yes,2008-11-03,46.2,14.9,221.0,5300.0,MALE,8.60092,-26.84374
282,PAL0809,63,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N19A1,Yes,2008-11-13,45.7,13.9,214.0,4400.0,FEMALE,8.6287,-26.60484
283,PAL0809,64,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N19A2,Yes,2008-11-13,54.3,15.7,231.0,5650.0,MALE,8.49662,-26.84166
284,PAL0809,65,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N20A1,Yes,2008-11-04,45.8,14.2,219.0,4700.0,FEMALE,8.60447,-26.61601
285,PAL0809,66,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N20A2,Yes,2008-11-04,49.8,16.8,230.0,5700.0,MALE,8.47067,-26.69166
287,PAL0809,68,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,2008-11-09,49.5,16.2,229.0,5800.0,MALE,8.49854,-26.74809
288,PAL0809,69,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,2008-11-13,43.5,14.2,220.0,4700.0,FEMALE,8.64931,-26.68867
289,PAL0809,70,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N53A2,Yes,2008-11-13,50.7,15.0,223.0,5550.0,MALE,8.63551,-26.74249
290,PAL0809,71,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N54A1,Yes,2008-11-03,47.7,15.0,216.0,4750.0,FEMALE,8.53018,-26.72751
291,PAL0809,72,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N54A2,Yes,2008-11-03,46.4,15.6,221.0,5000.0,MALE,8.35078,-26.70783
292,PAL0809,73,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N55A1,Yes,2008-11-09,48.2,15.6,221.0,5100.0,MALE,8.24651,-26.66958
293,PAL0809,74,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N55A2,Yes,2008-11-09,46.5,14.8,217.0,5200.0,FEMALE,8.58487,-26.5929
294,PAL0809,75,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N56A1,Yes,2008-11-06,46.4,15.0,216.0,4700.0,FEMALE,8.47938,-26.9547
295,PAL0809,76,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N56A2,Yes,2008-11-06,48.6,16.0,230.0,5800.0,MALE,8.5964,-26.71199
296,PAL0809,77,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,2008-11-06,47.5,14.2,209.0,4600.0,FEMALE,8.39299,-26.78733
297,PAL0809,78,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N58A2,Yes,2008-11-06,51.1,16.3,220.0,6000.0,MALE,8.40327,-26.76821
298,PAL0809,79,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N60A1,Yes,2008-11-09,45.2,13.8,215.0,4750.0,FEMALE,8.24694,-26.65359
299,PAL0809,80,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,2008-11-09,45.2,16.4,223.0,5950.0,MALE,8.19749,-26.65931
300,PAL0910,81,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N1A1,Yes,2009-11-18,49.1,14.5,212.0,4625.0,FEMALE,8.35802,-26.2766
301,PAL0910,82,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N1A2,Yes,2009-11-18,52.5,15.6,221.0,5450.0,MALE,8.28601,-26.27573
302,PAL0910,83,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N6A1,Yes,2009-11-15,47.4,14.6,212.0,4725.0,FEMALE,8.19101,-26.24369
303,PAL0910,84,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N6A2,Yes,2009-11-15,50.0,15.9,224.0,5350.0,MALE,8.20042,-26.39677
304,PAL0910,85,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N8A1,Yes,2009-11-22,44.9,13.8,212.0,4750.0,FEMALE,8.11238,-26.20372
305,PAL0910,86,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N8A2,Yes,2009-11-22,50.8,17.3,228.0,5600.0,MALE,8.27428,-26.30019
306,PAL0910,87,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N13A1,Yes,2009-11-20,43.4,14.4,218.0,4600.0,FEMALE,8.23468,-26.18599
307,PAL0910,88,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,2009-11-20,51.3,14.2,218.0,5300.0,MALE,8.15426,-26.3433
308,PAL0910,89,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N14A1,Yes,2009-11-25,47.5,14.0,212.0,4875.0,FEMALE,8.12691,-26.23613
309,PAL0910,90,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N14A2,Yes,2009-11-25,52.1,17.0,230.0,5550.0,MALE,8.27595,-26.11657
310,PAL0910,91,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N15A1,Yes,2009-11-25,47.5,15.0,218.0,4950.0,FEMALE,8.29671,-26.08547
311,PAL0910,92,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N15A2,Yes,2009-11-25,52.2,17.1,228.0,5400.0,MALE,8.36701,-25.89834
312,PAL0910,93,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,Yes,2009-12-01,45.5,14.5,212.0,4750.0,FEMALE,8.15566,-26.22848
313,PAL0910,94,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,Yes,2009-12-01,49.5,16.1,224.0,5650.0,MALE,8.83352,-25.69195
314,PAL0910,95,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N19A1,Yes,2009-11-27,44.5,14.7,214.0,4850.0,FEMALE,8.20106,-26.16524
315,PAL0910,96,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N19A2,Yes,2009-11-27,50.8,15.7,226.0,5200.0,MALE,8.27102,-26.11244
316,PAL0910,97,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N20A1,Yes,2009-11-18,49.4,15.8,216.0,4925.0,MALE,8.03624,-26.06594
317,PAL0910,98,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N20A2,Yes,2009-11-18,46.9,14.6,222.0,4875.0,FEMALE,7.8881,-26.04726
318,PAL0910,99,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,2009-11-18,48.4,14.4,203.0,4625.0,FEMALE,8.16582,-26.13971
319,PAL0910,100,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N21A2,Yes,2009-11-18,51.1,16.5,225.0,5250.0,MALE,8.2066,-26.36863
320,PAL0910,101,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N22A1,Yes,2009-11-22,48.5,15.0,219.0,4850.0,FEMALE,8.10231,-26.18763
321,PAL0910,102,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N22A2,Yes,2009-11-22,55.9,17.0,228.0,5600.0,MALE,8.3118,-26.35425
322,PAL0910,103,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N23A1,Yes,2009-11-18,47.2,15.5,215.0,4975.0,FEMALE,8.30817,-26.21651
323,PAL0910,104,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N23A2,Yes,2009-11-18,49.1,15.0,228.0,5500.0,MALE,8.65914,-25.79203
325,PAL0910,106,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N24A2,Yes,2009-12-01,46.8,16.1,215.0,5500.0,MALE,8.32359,-26.05756
326,PAL0910,107,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N28A1,Yes,2009-11-10,41.7,14.7,210.0,4700.0,FEMALE,8.12311,-26.44815
327,PAL0910,108,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N28A2,Yes,2009-11-10,53.4,15.8,219.0,5500.0,MALE,8.41017,-26.33867
328,PAL0910,109,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N29A1,Yes,2009-11-09,43.3,14.0,208.0,4575.0,FEMALE,8.4207,-26.38092
329,PAL0910,110,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N29A2,Yes,2009-11-09,48.1,15.1,209.0,5500.0,MALE,8.45738,-26.22664
330,PAL0910,111,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N32A1,Yes,2009-11-20,50.5,15.2,216.0,5000.0,FEMALE,8.24691,-26.18466
331,PAL0910,112,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N32A2,Yes,2009-11-20,49.8,15.9,229.0,5950.0,MALE,8.29226,-26.21019
332,PAL0910,113,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N34A1,Yes,2009-11-27,43.5,15.2,213.0,4650.0,FEMALE,8.21634,-26.11046
333,PAL0910,114,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N34A2,Yes,2009-11-27,51.5,16.3,230.0,5500.0,MALE,8.78557,-25.76147
334,PAL0910,115,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N35A1,Yes,2009-11-25,46.2,14.1,217.0,4375.0,FEMALE,8.30231,-25.96013
335,PAL0910,116,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N35A2,Yes,2009-11-25,55.1,16.0,230.0,5850.0,MALE,8.08354,-26.18161
336,PAL0910,117,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N36A1,Yes,2009-12-01,44.5,15.7,217.0,4875.0,.,8.04111,-26.18444
337,PAL0910,118,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N36A2,Yes,2009-12-01,48.8,16.2,222.0,6000.0,MALE,8.33825,-25.88547
338,PAL0910,119,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N38A1,No,2009-12-01,47.2,13.7,214.0,4925.0,FEMALE,7.99184,-26.20538
340,PAL0910,121,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N39A1,Yes,2009-11-22,46.8,14.3,215.0,4850.0,FEMALE,8.41151,-26.13832
341,PAL0910,122,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N39A2,Yes,2009-11-22,50.4,15.7,222.0,5750.0,MALE,8.30166,-26.04117
342,PAL0910,123,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N43A1,Yes,2009-11-22,45.2,14.8,212.0,5200.0,FEMALE,8.24246,-26.11969
343,PAL0910,124,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N43A2,Yes,2009-11-22,49.9,16.1,213.0,5400.0,MALE,8.3639,-26.15531
